Battalion,Watch Date,Incident Number,Call Type Group
B04,01/01/2019 12:00:00 AM,57,Fire
B04,01/01/2019 12:00:00 AM,509,Non Life-threatening
B04,01/01/2019 12:00:00 AM,1028,Potentially Life-Threatening
B04,02/01/2019 12:00:00 AM,703,Alarm
B04,02/01/2019 12:00:00 AM,80,Fire
B04,02/01/2019 12:00:00 AM,562,Non Life-threatening
B04,02/01/2019 12:00:00 AM,997,Potentially Life-Threatening
B04,02/01/2019 12:00:00 AM,20,
B04,03/01/2019 12:00:00 AM,651,Alarm
B04,03/01/2019 12:00:00 AM,48,Fire
B04,03/01/2019 12:00:00 AM,704,Non Life-threatening
B04,03/01/2019 12:00:00 AM,1180,Potentially Life-Threatening
B04,03/01/2019 12:00:00 AM,62,
B04,04/01/2019 12:00:00 AM,773,Alarm
B04,04/01/2019 12:00:00 AM,36,Fire
B04,04/01/2019 12:00:00 AM,574,Non Life-threatening
B04,04/01/2019 12:00:00 AM,1160,Potentially Life-Threatening
B04,04/01/2019 12:00:00 AM,56,
B04,05/01/2019 12:00:00 AM,712,Alarm
B04,05/01/2019 12:00:00 AM,41,Fire
B04,05/01/2019 12:00:00 AM,707,Non Life-threatening
B04,05/01/2019 12:00:00 AM,1143,Potentially Life-Threatening
B04,05/01/2019 12:00:00 AM,12,
B04,06/01/2019 12:00:00 AM,867,Alarm
B04,06/01/2019 12:00:00 AM,92,Fire
B04,06/01/2019 12:00:00 AM,609,Non Life-threatening
B04,06/01/2019 12:00:00 AM,1177,Potentially Life-Threatening
B04,06/01/2019 12:00:00 AM,6,
B04,07/01/2019 12:00:00 AM,875,Alarm
B04,07/01/2019 12:00:00 AM,78,Fire
B04,07/01/2019 12:00:00 AM,591,Non Life-threatening
B04,07/01/2019 12:00:00 AM,1229,Potentially Life-Threatening
B04,08/01/2019 12:00:00 AM,965,Alarm
B04,08/01/2019 12:00:00 AM,90,Fire
B04,08/01/2019 12:00:00 AM,642,Non Life-threatening
B04,08/01/2019 12:00:00 AM,1223,Potentially Life-Threatening
B04,09/01/2019 12:00:00 AM,800,Alarm
B04,09/01/2019 12:00:00 AM,67,Fire
B04,09/01/2019 12:00:00 AM,661,Non Life-threatening
B04,09/01/2019 12:00:00 AM,1320,Potentially Life-Threatening
B04,09/01/2019 12:00:00 AM,2,
B04,10/01/2019 12:00:00 AM,804,Alarm
B04,10/01/2019 12:00:00 AM,92,Fire
B04,10/01/2019 12:00:00 AM,711,Non Life-threatening
B04,10/01/2019 12:00:00 AM,1182,Potentially Life-Threatening
B04,10/01/2019 12:00:00 AM,2,
B04,11/01/2019 12:00:00 AM,738,Alarm
B04,11/01/2019 12:00:00 AM,97,Fire
B04,11/01/2019 12:00:00 AM,628,Non Life-threatening
B04,11/01/2019 12:00:00 AM,1228,Potentially Life-Threatening
B04,12/01/2019 12:00:00 AM,846,Alarm
B04,12/01/2019 12:00:00 AM,40,Fire
B04,12/01/2019 12:00:00 AM,642,Non Life-threatening
B04,12/01/2019 12:00:00 AM,1304,Potentially Life-Threatening
B04,12/01/2019 12:00:00 AM,4,
B05,01/01/2019 12:00:00 AM,481,Alarm
B05,01/01/2019 12:00:00 AM,40,Fire
B05,01/01/2019 12:00:00 AM,409,Non Life-threatening
B05,01/01/2019 12:00:00 AM,710,Potentially Life-Threatening
B05,01/01/2019 12:00:00 AM,4,
B05,02/01/2019 12:00:00 AM,418,Alarm
B05,02/01/2019 12:00:00 AM,58,Fire
B05,02/01/2019 12:00:00 AM,504,Non Life-threatening
B05,02/01/2019 12:00:00 AM,734,Potentially Life-Threatening
B05,02/01/2019 12:00:00 AM,4,
B05,03/01/2019 12:00:00 AM,474,Alarm
B05,03/01/2019 12:00:00 AM,27,Fire
B05,03/01/2019 12:00:00 AM,538,Non Life-threatening
B05,03/01/2019 12:00:00 AM,831,Potentially Life-Threatening
B05,03/01/2019 12:00:00 AM,45,
B05,04/01/2019 12:00:00 AM,537,Alarm
B05,04/01/2019 12:00:00 AM,21,Fire
B05,04/01/2019 12:00:00 AM,480,Non Life-threatening
B05,04/01/2019 12:00:00 AM,738,Potentially Life-Threatening
B05,04/01/2019 12:00:00 AM,39,
B05,05/01/2019 12:00:00 AM,467,Alarm
B05,05/01/2019 12:00:00 AM,55,Fire
B05,05/01/2019 12:00:00 AM,436,Non Life-threatening
B05,05/01/2019 12:00:00 AM,836,Potentially Life-Threatening
B05,05/01/2019 12:00:00 AM,8,
B05,06/01/2019 12:00:00 AM,469,Alarm
B05,06/01/2019 12:00:00 AM,49,Fire
B05,06/01/2019 12:00:00 AM,473,Non Life-threatening
B05,06/01/2019 12:00:00 AM,778,Potentially Life-Threatening
B05,06/01/2019 12:00:00 AM,3,
B05,07/01/2019 12:00:00 AM,406,Alarm
B05,07/01/2019 12:00:00 AM,48,Fire
B05,07/01/2019 12:00:00 AM,441,Non Life-threatening
B05,07/01/2019 12:00:00 AM,672,Potentially Life-Threatening
B05,08/01/2019 12:00:00 AM,540,Alarm
B05,08/01/2019 12:00:00 AM,34,Fire
B05,08/01/2019 12:00:00 AM,421,Non Life-threatening
B05,08/01/2019 12:00:00 AM,758,Potentially Life-Threatening
B05,08/01/2019 12:00:00 AM,5,
B05,09/01/2019 12:00:00 AM,579,Alarm
B05,09/01/2019 12:00:00 AM,52,Fire
B05,09/01/2019 12:00:00 AM,436,Non Life-threatening
B05,09/01/2019 12:00:00 AM,727,Potentially Life-Threatening
B05,09/01/2019 12:00:00 AM,6,
B05,10/01/2019 12:00:00 AM,507,Alarm
B05,10/01/2019 12:00:00 AM,100,Fire
B05,10/01/2019 12:00:00 AM,436,Non Life-threatening
B05,10/01/2019 12:00:00 AM,812,Potentially Life-Threatening
B05,10/01/2019 12:00:00 AM,1,
B05,11/01/2019 12:00:00 AM,602,Alarm
B05,11/01/2019 12:00:00 AM,95,Fire
B05,11/01/2019 12:00:00 AM,402,Non Life-threatening
B05,11/01/2019 12:00:00 AM,679,Potentially Life-Threatening
B05,12/01/2019 12:00:00 AM,521,Alarm
B05,12/01/2019 12:00:00 AM,33,Fire
B05,12/01/2019 12:00:00 AM,417,Non Life-threatening
B05,12/01/2019 12:00:00 AM,733,Potentially Life-Threatening
B06,01/01/2019 12:00:00 AM,419,Alarm
B06,01/01/2019 12:00:00 AM,38,Fire
B06,01/01/2019 12:00:00 AM,410,Non Life-threatening
B06,01/01/2019 12:00:00 AM,733,Potentially Life-Threatening
B06,02/01/2019 12:00:00 AM,456,Alarm
B06,02/01/2019 12:00:00 AM,26,Fire
B06,02/01/2019 12:00:00 AM,426,Non Life-threatening
B06,02/01/2019 12:00:00 AM,720,Potentially Life-Threatening
B06,02/01/2019 12:00:00 AM,6,
B06,03/01/2019 12:00:00 AM,336,Alarm
B06,03/01/2019 12:00:00 AM,68,Fire
B06,03/01/2019 12:00:00 AM,438,Non Life-threatening
B06,03/01/2019 12:00:00 AM,808,Potentially Life-Threatening
B06,03/01/2019 12:00:00 AM,75,
B06,04/01/2019 12:00:00 AM,361,Alarm
B06,04/01/2019 12:00:00 AM,34,Fire
B06,04/01/2019 12:00:00 AM,426,Non Life-threatening
B06,04/01/2019 12:00:00 AM,742,Potentially Life-Threatening
B06,04/01/2019 12:00:00 AM,26,
B06,05/01/2019 12:00:00 AM,322,Alarm
B06,05/01/2019 12:00:00 AM,68,Fire
B06,05/01/2019 12:00:00 AM,458,Non Life-threatening
B06,05/01/2019 12:00:00 AM,830,Potentially Life-Threatening
B06,05/01/2019 12:00:00 AM,6,
B06,06/01/2019 12:00:00 AM,460,Alarm
B06,06/01/2019 12:00:00 AM,94,Fire
B06,06/01/2019 12:00:00 AM,421,Non Life-threatening
B06,06/01/2019 12:00:00 AM,893,Potentially Life-Threatening
B06,07/01/2019 12:00:00 AM,447,Alarm
B06,07/01/2019 12:00:00 AM,79,Fire
B06,07/01/2019 12:00:00 AM,426,Non Life-threatening
B06,07/01/2019 12:00:00 AM,762,Potentially Life-Threatening
B06,07/01/2019 12:00:00 AM,2,
B06,08/01/2019 12:00:00 AM,455,Alarm
B06,08/01/2019 12:00:00 AM,66,Fire
B06,08/01/2019 12:00:00 AM,465,Non Life-threatening
B06,08/01/2019 12:00:00 AM,885,Potentially Life-Threatening
B06,08/01/2019 12:00:00 AM,4,
B06,09/01/2019 12:00:00 AM,459,Alarm
B06,09/01/2019 12:00:00 AM,55,Fire
B06,09/01/2019 12:00:00 AM,450,Non Life-threatening
B06,09/01/2019 12:00:00 AM,879,Potentially Life-Threatening
B06,10/01/2019 12:00:00 AM,591,Alarm
B06,10/01/2019 12:00:00 AM,71,Fire
B06,10/01/2019 12:00:00 AM,459,Non Life-threatening
B06,10/01/2019 12:00:00 AM,954,Potentially Life-Threatening
B06,10/01/2019 12:00:00 AM,3,
B06,11/01/2019 12:00:00 AM,454,Alarm
B06,11/01/2019 12:00:00 AM,65,Fire
B06,11/01/2019 12:00:00 AM,428,Non Life-threatening
B06,11/01/2019 12:00:00 AM,840,Potentially Life-Threatening
B06,12/01/2019 12:00:00 AM,535,Alarm
B06,12/01/2019 12:00:00 AM,64,Fire
B06,12/01/2019 12:00:00 AM,490,Non Life-threatening
B06,12/01/2019 12:00:00 AM,789,Potentially Life-Threatening
B06,12/01/2019 12:00:00 AM,2,
B07,01/01/2019 12:00:00 AM,359,Alarm
B07,01/01/2019 12:00:00 AM,62,Fire
B07,01/01/2019 12:00:00 AM,320,Non Life-threatening
B07,01/01/2019 12:00:00 AM,422,Potentially Life-Threatening
B07,02/01/2019 12:00:00 AM,393,Alarm
B07,02/01/2019 12:00:00 AM,84,Fire
B07,02/01/2019 12:00:00 AM,293,Non Life-threatening
B07,02/01/2019 12:00:00 AM,538,Potentially Life-Threatening
B07,02/01/2019 12:00:00 AM,8,
B07,03/01/2019 12:00:00 AM,357,Alarm
B07,03/01/2019 12:00:00 AM,73,Fire
B07,03/01/2019 12:00:00 AM,316,Non Life-threatening
B07,03/01/2019 12:00:00 AM,527,Potentially Life-Threatening
B07,03/01/2019 12:00:00 AM,28,
B07,04/01/2019 12:00:00 AM,241,Alarm
B07,04/01/2019 12:00:00 AM,43,Fire
B07,04/01/2019 12:00:00 AM,333,Non Life-threatening
B07,04/01/2019 12:00:00 AM,532,Potentially Life-Threatening
B07,04/01/2019 12:00:00 AM,21,
B07,05/01/2019 12:00:00 AM,287,Alarm
B07,05/01/2019 12:00:00 AM,47,Fire
B07,05/01/2019 12:00:00 AM,280,Non Life-threatening
B07,05/01/2019 12:00:00 AM,492,Potentially Life-Threatening
B07,05/01/2019 12:00:00 AM,7,
B07,06/01/2019 12:00:00 AM,350,Alarm
B07,06/01/2019 12:00:00 AM,100,Fire
B07,06/01/2019 12:00:00 AM,259,Non Life-threatening
B07,06/01/2019 12:00:00 AM,562,Potentially Life-Threatening
B07,07/01/2019 12:00:00 AM,232,Alarm
B07,07/01/2019 12:00:00 AM,78,Fire
B07,07/01/2019 12:00:00 AM,311,Non Life-threatening
B07,07/01/2019 12:00:00 AM,515,Potentially Life-Threatening
B07,08/01/2019 12:00:00 AM,296,Alarm
B07,08/01/2019 12:00:00 AM,71,Fire
B07,08/01/2019 12:00:00 AM,278,Non Life-threatening
B07,08/01/2019 12:00:00 AM,556,Potentially Life-Threatening
B07,08/01/2019 12:00:00 AM,4,
B07,09/01/2019 12:00:00 AM,431,Alarm
B07,09/01/2019 12:00:00 AM,107,Fire
B07,09/01/2019 12:00:00 AM,399,Non Life-threatening
B07,09/01/2019 12:00:00 AM,569,Potentially Life-Threatening
B07,10/01/2019 12:00:00 AM,479,Alarm
B07,10/01/2019 12:00:00 AM,98,Fire
B07,10/01/2019 12:00:00 AM,342,Non Life-threatening
B07,10/01/2019 12:00:00 AM,560,Potentially Life-Threatening
B07,10/01/2019 12:00:00 AM,2,
B07,11/01/2019 12:00:00 AM,336,Alarm
B07,11/01/2019 12:00:00 AM,104,Fire
B07,11/01/2019 12:00:00 AM,315,Non Life-threatening
B07,11/01/2019 12:00:00 AM,552,Potentially Life-Threatening
B07,12/01/2019 12:00:00 AM,466,Alarm
B07,12/01/2019 12:00:00 AM,91,Fire
B07,12/01/2019 12:00:00 AM,295,Non Life-threatening
B07,12/01/2019 12:00:00 AM,543,Potentially Life-Threatening
B08,01/01/2019 12:00:00 AM,506,Alarm
B08,01/01/2019 12:00:00 AM,64,Fire
B08,01/01/2019 12:00:00 AM,489,Non Life-threatening
B08,01/01/2019 12:00:00 AM,833,Potentially Life-Threatening
B08,01/01/2019 12:00:00 AM,10,
B08,02/01/2019 12:00:00 AM,652,Alarm
B08,02/01/2019 12:00:00 AM,83,Fire
B08,02/01/2019 12:00:00 AM,513,Non Life-threatening
B08,02/01/2019 12:00:00 AM,737,Potentially Life-Threatening
B08,02/01/2019 12:00:00 AM,17,
B08,03/01/2019 12:00:00 AM,519,Alarm
B08,03/01/2019 12:00:00 AM,95,Fire
B08,03/01/2019 12:00:00 AM,600,Non Life-threatening
B08,03/01/2019 12:00:00 AM,852,Potentially Life-Threatening
B08,03/01/2019 12:00:00 AM,60,
B08,04/01/2019 12:00:00 AM,438,Alarm
B08,04/01/2019 12:00:00 AM,103,Fire
B08,04/01/2019 12:00:00 AM,519,Non Life-threatening
B08,04/01/2019 12:00:00 AM,827,Potentially Life-Threatening
B08,04/01/2019 12:00:00 AM,51,
B08,05/01/2019 12:00:00 AM,430,Alarm
B08,05/01/2019 12:00:00 AM,43,Fire
B08,05/01/2019 12:00:00 AM,509,Non Life-threatening
B08,05/01/2019 12:00:00 AM,867,Potentially Life-Threatening
B08,05/01/2019 12:00:00 AM,4,
B08,06/01/2019 12:00:00 AM,463,Alarm
B08,06/01/2019 12:00:00 AM,48,Fire
B08,06/01/2019 12:00:00 AM,527,Non Life-threatening
B08,06/01/2019 12:00:00 AM,906,Potentially Life-Threatening
B08,06/01/2019 12:00:00 AM,2,
B08,07/01/2019 12:00:00 AM,518,Alarm
B08,07/01/2019 12:00:00 AM,87,Fire
B08,07/01/2019 12:00:00 AM,488,Non Life-threatening
B08,07/01/2019 12:00:00 AM,809,Potentially Life-Threatening
B08,07/01/2019 12:00:00 AM,7,
B08,08/01/2019 12:00:00 AM,529,Alarm
B08,08/01/2019 12:00:00 AM,64,Fire
B08,08/01/2019 12:00:00 AM,591,Non Life-threatening
B08,08/01/2019 12:00:00 AM,834,Potentially Life-Threatening
B08,09/01/2019 12:00:00 AM,569,Alarm
B08,09/01/2019 12:00:00 AM,144,Fire
B08,09/01/2019 12:00:00 AM,553,Non Life-threatening
B08,09/01/2019 12:00:00 AM,1038,Potentially Life-Threatening
B08,09/01/2019 12:00:00 AM,6,
B08,10/01/2019 12:00:00 AM,624,Alarm
B08,10/01/2019 12:00:00 AM,64,Fire
B08,10/01/2019 12:00:00 AM,645,Non Life-threatening
B08,10/01/2019 12:00:00 AM,1064,Potentially Life-Threatening
B08,10/01/2019 12:00:00 AM,5,
B08,11/01/2019 12:00:00 AM,550,Alarm
B08,11/01/2019 12:00:00 AM,70,Fire
B08,11/01/2019 12:00:00 AM,571,Non Life-threatening
B08,11/01/2019 12:00:00 AM,924,Potentially Life-Threatening
B08,11/01/2019 12:00:00 AM,1,
B08,12/01/2019 12:00:00 AM,570,Alarm
B08,12/01/2019 12:00:00 AM,65,Fire
B08,12/01/2019 12:00:00 AM,600,Non Life-threatening
B08,12/01/2019 12:00:00 AM,867,Potentially Life-Threatening
B09,01/01/2019 12:00:00 AM,421,Alarm
B09,01/01/2019 12:00:00 AM,76,Fire
B09,01/01/2019 12:00:00 AM,500,Non Life-threatening
B09,01/01/2019 12:00:00 AM,926,Potentially Life-Threatening
B09,02/01/2019 12:00:00 AM,403,Alarm
B09,02/01/2019 12:00:00 AM,80,Fire
B09,02/01/2019 12:00:00 AM,488,Non Life-threatening
B09,02/01/2019 12:00:00 AM,839,Potentially Life-Threatening
B09,02/01/2019 12:00:00 AM,21,
B09,03/01/2019 12:00:00 AM,352,Alarm
B09,03/01/2019 12:00:00 AM,93,Fire
B09,03/01/2019 12:00:00 AM,501,Non Life-threatening
B09,03/01/2019 12:00:00 AM,880,Potentially Life-Threatening
B09,03/01/2019 12:00:00 AM,63,
B09,04/01/2019 12:00:00 AM,299,Alarm
B09,04/01/2019 12:00:00 AM,51,Fire
B09,04/01/2019 12:00:00 AM,517,Non Life-threatening
B09,04/01/2019 12:00:00 AM,810,Potentially Life-Threatening
B09,04/01/2019 12:00:00 AM,51,
B09,05/01/2019 12:00:00 AM,364,Alarm
B09,05/01/2019 12:00:00 AM,25,Fire
B09,05/01/2019 12:00:00 AM,485,Non Life-threatening
B09,05/01/2019 12:00:00 AM,894,Potentially Life-Threatening
B09,05/01/2019 12:00:00 AM,3,
B09,06/01/2019 12:00:00 AM,334,Alarm
B09,06/01/2019 12:00:00 AM,76,Fire
B09,06/01/2019 12:00:00 AM,463,Non Life-threatening
B09,06/01/2019 12:00:00 AM,985,Potentially Life-Threatening
B09,07/01/2019 12:00:00 AM,372,Alarm
B09,07/01/2019 12:00:00 AM,87,Fire
B09,07/01/2019 12:00:00 AM,479,Non Life-threatening
B09,07/01/2019 12:00:00 AM,853,Potentially Life-Threatening
B09,07/01/2019 12:00:00 AM,13,
B09,08/01/2019 12:00:00 AM,295,Alarm
B09,08/01/2019 12:00:00 AM,55,Fire
B09,08/01/2019 12:00:00 AM,466,Non Life-threatening
B09,08/01/2019 12:00:00 AM,975,Potentially Life-Threatening
B09,09/01/2019 12:00:00 AM,374,Alarm
B09,09/01/2019 12:00:00 AM,73,Fire
B09,09/01/2019 12:00:00 AM,444,Non Life-threatening
B09,09/01/2019 12:00:00 AM,1064,Potentially Life-Threatening
B09,09/01/2019 12:00:00 AM,11,
B09,10/01/2019 12:00:00 AM,460,Alarm
B09,10/01/2019 12:00:00 AM,116,Fire
B09,10/01/2019 12:00:00 AM,460,Non Life-threatening
B09,10/01/2019 12:00:00 AM,1018,Potentially Life-Threatening
B09,11/01/2019 12:00:00 AM,405,Alarm
B09,11/01/2019 12:00:00 AM,91,Fire
B09,11/01/2019 12:00:00 AM,496,Non Life-threatening
B09,11/01/2019 12:00:00 AM,864,Potentially Life-Threatening
