calltype	month	hood	avgtime	count
Non Life-threatening	May	South of Market	12.863172043	124
Fire	May	South of Market	2.325	2
Alarm	May	South of Market	6.215891473	43
Potentially Life-Threatening	April	South of Market	7.495796460	226
Non Life-threatening	April	South of Market	11.908493590	104
Alarm	April	South of Market	5.899285714	70
Potentially Life-Threatening	March	South of Market	7.733476395	233
Non Life-threatening	March	South of Market	12.617986799	101
Fire	March	South of Market	6.441666667	2
Alarm	March	South of Market	5.938484848	55
Potentially Life-Threatening	February	South of Market	8.252036199	221
Non Life-threatening	February	South of Market	13.087121212	110
Fire	February	South of Market	7.2	1
Alarm	February	South of Market	5.844	50
Potentially Life-Threatening	January	South of Market	7.875	200
Non Life-threatening	January	South of Market	10.927515723	106
Fire	January	South of Market	8.941666667	2
Alarm	January	South of Market	5.281446541	53
Potentially Life-Threatening	December	Tenderloin	8.089096045	295
Non Life-threatening	December	Tenderloin	13.161885246	122
Fire	December	Tenderloin	4.9	2
Alarm	December	Tenderloin	5.682564103	65
Potentially Life-Threatening	November	Tenderloin	8.007652399	257
Non Life-threatening	November	Tenderloin	11.802614379	102
Fire	November	Tenderloin	6.991666667	2
Alarm	November	Tenderloin	5.363703704	45
Potentially Life-Threatening	October	Tenderloin	7.587430786	301
Non Life-threatening	October	Tenderloin	12.949814815	90
Fire	October	Tenderloin	6.863888889	6
Alarm	October	Tenderloin	5.658805031	53
Potentially Life-Threatening	September	Tenderloin	6.976117318	358
Non Life-threatening	September	Tenderloin	12.710793651	105
Fire	September	Tenderloin	7.433333333	4
Alarm	September	Tenderloin	6.502291667	80
Potentially Life-Threatening	August	Tenderloin	7.171486643	287
Non Life-threatening	August	Tenderloin	12.199061033	142
Fire	August	Tenderloin	5.791666667	2
Alarm	August	Tenderloin	6.057070707	66
Potentially Life-Threatening	July	Tenderloin	7.131443995	247
Non Life-threatening	July	Tenderloin	11.909523810	91
Fire	July	Tenderloin	5.854166667	4
Alarm	July	Tenderloin	5.373655914	62
Potentially Life-Threatening	June	Tenderloin	7.715005727	291
Non Life-threatening	June	Tenderloin	13.854104478	134
Fire	June	Tenderloin	6.683333333	16
Alarm	June	Tenderloin	6.722008547	78
Potentially Life-Threatening	May	Tenderloin	7.386225895	242
Non Life-threatening	May	Tenderloin	11.411111111	114
Fire	May	Tenderloin	3.625	4
Alarm	May	Tenderloin	5.644262295	61
Potentially Life-Threatening	April	Tenderloin	6.821496599	245
Non Life-threatening	April	Tenderloin	11.560080645	124
Fire	April	Tenderloin	5.920833333	4
Alarm	April	Tenderloin	6.7135	100
Potentially Life-Threatening	March	Tenderloin	7.473655914	248
Non Life-threatening	March	Tenderloin	11.544814815	135
Fire	March	Tenderloin	4.483333333	1
Alarm	March	Tenderloin	6.905847953	57
Potentially Life-Threatening	February	Tenderloin	7.555896226	212
Non Life-threatening	February	Tenderloin	11.515497076	114
Fire	February	Tenderloin	5.345833333	4
Alarm	February	Tenderloin	5.993402778	48
Potentially Life-Threatening	January	Tenderloin	7.826049869	254
Non Life-threatening	January	Tenderloin	11.363623188	115
Fire	January	Tenderloin	5.03	5
Alarm	January	Tenderloin	5.566666667	39
Potentially Life-Threatening	December	Western Addition	6.847435897	13
Fire	December	Western Addition	4.6	1
Potentially Life-Threatening	November	Western Addition	10.23	5
Non Life-threatening	November	Western Addition	13.158333333	4
Alarm	November	Western Addition	4	1
Potentially Life-Threatening	October	Western Addition	7.946296296	9
Non Life-threatening	October	Western Addition	8.944444444	3
Potentially Life-Threatening	September	Western Addition	7.038888889	6
Non Life-threatening	September	Western Addition	11.970833333	4
Alarm	September	Western Addition	2.3	1
Potentially Life-Threatening	August	Western Addition	9.044444444	3
Non Life-threatening	August	Western Addition	9.427777778	3
Alarm	August	Western Addition	4.808333333	2
Potentially Life-Threatening	July	Western Addition	4.2	1
Alarm	July	Western Addition	3.9	1
Potentially Life-Threatening	June	Western Addition	7.958333333	4
Non Life-threatening	June	Western Addition	5.066666667	3
Potentially Life-Threatening	May	Western Addition	6.9	5
Non Life-threatening	May	Western Addition	12.236666667	5
Potentially Life-Threatening	April	Western Addition	6.005555556	3
Non Life-threatening	April	Western Addition	10.55	2
Alarm	April	Western Addition	7.416666667	1
Potentially Life-Threatening	March	Western Addition	4.083333333	3
Alarm	March	Western Addition		0
Potentially Life-Threatening	February	Western Addition	5.797222222	6
Non Life-threatening	February	Western Addition	12.7	1
Alarm	February	Western Addition	5.422222222	3
Potentially Life-Threatening	January	Western Addition	9.178571429	7
Non Life-threatening	January	Western Addition	0	1
Alarm	January	Western Addition	5.2	1
